Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.73512	43.6966	3.84E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	5.38341	2343.39	1.78E-05
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	63.8064	25899.2	5.22E-05
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	1.86755	761.161	2.08E-05
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	2.71324	93.6065	1.32E-05
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	2.62E-21	3.63E-39	3.42E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.0838103	5.44683	7.53E-07
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.613757	292.107	4.85E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	7.27449	3228.37	9.37E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.212918	94.8796	4.71E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.309333	11.6682	1.70E-06
East North Central	Mobile Home	100000-149999	"In metro area, not/partially in principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	2.99E-22	4.53E-40	4.41E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	1.46696	15.6337	3.26E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	14.5213	1162.11	2.28E-06
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	63.7064	4648.41	5.94E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	13.7338	1039.48	6.19E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	2.27476	15.5356	1.46E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	1.38E-20	1.25E-38	1.81E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.0658603	0.702038	0
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.651949	52.1849	0
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	2.86016	208.739	8.43E-08
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.616594	46.6783	1.26E-07
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.102127	0.697632	1.89E-08
East North Central	Mobile Home	100000-149999	"In metro area, principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	6.20E-22	5.60E-40	1.95E-07
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.075766	18.0449	1.59E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	4.49489	8398.07	2.39E-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	6.84319	9494.75	6.70E-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	2.17654	4235.82	2.81E-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.212994	186.263	5.47E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	0.0284362	10.1674	1.35E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.00639892	1.75019	2.91E-07
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.379622	814.533	5.94E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.577952	920.901	1.04E-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.183823	410.834	3.56E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0179887	18.0658	1.42E-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	0.00240162	0.986142	3.51E-07
East North Central	Mobile Home	150000+	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.354275	8.24092	9.29E-07
East North Central	Mobile Home	150000+	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	2.59441	441.95	9.27E-06
East North Central	Mobile Home	150000+	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	30.7501	4884.44	1.38E-05
