Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
1A	Mobile Home	1940-59	0	0	0	0	0	1	1.65E-05
1A	Mobile Home	1960-79	0	0	1	0	0	0	0.000143701
1A	Mobile Home	1980-99	0	0	1	0	0	0	0.000112522
1A	Mobile Home	2000-09	0	0	1	0	0	0	4.14E-05
1A	Mobile Home	2010s	0	0	1	0	0	0	1.42E-05
1A	Mobile Home	<1940	0	0	0	0	0	1	1.96E-06
1A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000152126
1A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00033822
1A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000237806
1A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	6.60E-05
1A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	3.05E-05
1A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	4.22E-05
1A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000409406
1A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.00247033
1A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00177889
1A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000790032
1A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000335451
1A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000104182
1A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000117925
1A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000331531
1A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000514354
1A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000200422
1A	Single-Family Attached	2010s	0	0	1	0	0	0	6.11E-05
1A	Single-Family Attached	<1940	0	0	0	0	0	1	2.24E-05
1A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00137174
1A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00180506
1A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00170685
1A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.000553942
1A	Single-Family Detached	2010s	0	0	1	0	0	0	0.000124947
1A	Single-Family Detached	<1940	0	0	0	0	0	1	0.000176988
2A	Mobile Home	1940-59	0	0	0	0	0	1	0.000194024
2A	Mobile Home	1960-79	0	0	1	0	0	0	0.00266053
2A	Mobile Home	1980-99	0	0	1	0	0	0	0.00577654
2A	Mobile Home	2000-09	0	0	1	0	0	0	0.00207172
2A	Mobile Home	2010s	0	0	1	0	0	0	0.000683956
2A	Mobile Home	<1940	0	0	0	0	0	1	3.64E-05
2A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000615437
2A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00213256
2A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.00253736
2A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000948811
