Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
1A	Electricity	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	21	32199.4	0.000435254
1A	Fuel Oil	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	561.124	9.01E-08
1A	Natural Gas	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	561.124	1.34E-05
1A	None	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	7	8413.25	2.40E-05
1A	Other Fuel	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	561.124	5.02E-07
1A	Propane	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	561.124	2.21E-06
1A	Electricity	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	73	94147.4	0.00145088
1A	Fuel Oil	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	7827.11	1.14E-06
1A	Natural Gas	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	7827.11	4.33E-05
1A	None	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	15	18007.5	8.10E-05
1A	Other Fuel	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	7827.11	3.11E-06
1A	Propane	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	7827.11	1.28E-05
1A	Electricity	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	86	111004	0.00182236
1A	Fuel Oil	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	5792.02	2.07E-06
1A	Natural Gas	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	5792.02	4.89E-05
1A	None	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	10	12450	9.47E-05
1A	Other Fuel	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	5792.02	1.92E-06
1A	Propane	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	5792.02	8.28E-06
