Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	sampling_probability
1A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	1.88E-05
2A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	6.57E-05
2B	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	9.64E-06
3A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	9.10E-05
3B	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	0.00023807
3C	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	5.92E-05
4A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	0.000551132
4B	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	7.37E-06
4C	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	4.42E-05
5A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	0.000438916
5B	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	3.85E-05
6A	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	8.71E-05
6B	0-499	1940s	0	2.07977E-06	1.02E-04	9.59E-04	4.02E-03	0.010610179	0.02098914	0.021920705	0.072006321	0.299064172	0.322833526	0.247492147	0	0	0	6.94E-06
