Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	"Option=Wall R-5, Exterior"	"Option=Wall R-10, Exterior"	"Option=Wall R-15, Exterior"	sampling_probability
CR02	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR03	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR04	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR05	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR06	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR07	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR08	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR09	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR10	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR11	<1940	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR02	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR03	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR04	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR05	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR06	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR07	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR08	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR09	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR10	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR11	1940s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR02	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR03	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR04	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR05	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR06	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR07	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR08	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR09	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR10	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR11	1950s	Mobile Home	Vented Crawlspace	0	0.4	0.6	0	0	0
CR02	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR03	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR04	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR05	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR06	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR07	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR08	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR09	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR10	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR11	1960s	Mobile Home	Vented Crawlspace	0	0.2	0.8	0	0	0
CR02	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR03	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR04	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR05	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR06	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR07	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR08	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR09	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR10	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR11	1970s	Mobile Home	Vented Crawlspace	0	0	0.6	0.4	0	0
CR02	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR03	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR04	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR05	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR06	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR07	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR08	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR09	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR10	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR11	1980s	Mobile Home	Vented Crawlspace	0	0	0.2	0.8	0	0
CR02	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR03	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR04	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR05	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR06	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR07	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR08	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR09	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR10	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR11	1990s	Mobile Home	Vented Crawlspace	0	0	0	0.4	0.6	0
CR02	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR03	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR04	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR05	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR06	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR07	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR08	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR09	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR10	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR11	2000s	Mobile Home	Vented Crawlspace	0	0	0	0.6	0.4	0
CR02	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR03	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR04	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR05	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR06	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR07	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR08	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR09	2010s	Mobile Home	Vented Crawlspace	0	0	0	0.2	0.8	0
CR10	2010s	Mobile Home	Vented Crawlspace	0	1	0	0	0	0
CR11	2010s	Mobile Home	Vented Crawlspace	0	1	0	0	0	0
CR02	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000392985
CR03	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00113242
CR04	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000942987
CR05	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	8.71E-05
CR06	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00012622
CR07	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.00213059
CR08	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000389985
CR09	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000647703
CR10	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	2.07E-05
CR11	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000688192
CR02	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	8.31E-05
CR03	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000136087
CR04	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000191036
CR05	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	3.29E-05
CR06	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	5.44E-05
CR07	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000595149
CR08	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000182945
CR09	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000265628
CR10	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	1.18E-05
CR11	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.00027404
CR02	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000120676
CR03	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000161007
CR04	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000245468
CR05	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	7.47E-05
CR06	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	7.30E-05
CR07	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000803714
CR08	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000268528
CR09	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000507908
CR10	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	3.49E-05
CR11	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.4	0.6	0	0	0.000472682
CR02	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	7.74E-05
CR03	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000136409
CR04	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000290268
CR05	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	7.94E-05
CR06	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000150123
CR07	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000671837
CR08	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000327669
CR09	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000496496
CR10	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	4.00E-05
CR11	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0.2	0.8	0	0	0.000377332
CR02	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000110737
CR03	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000169476
CR04	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000390646
CR05	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000192399
CR06	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000317061
CR07	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000554909
CR08	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000515844
CR09	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000942378
CR10	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	8.25E-05
CR11	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.6	0.4	0	0.000535399
CR02	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	7.53E-05
CR03	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000118595
CR04	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000199206
CR05	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	8.11E-05
CR06	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.00020372
CR07	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000318585
CR08	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000369993
CR09	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000584689
CR10	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	6.37E-05
CR11	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0.2	0.8	0	0.000266909
CR02	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	7.25E-05
CR03	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	5.51E-05
CR04	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000178188
CR05	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	6.91E-05
CR06	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000201122
CR07	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000271824
CR08	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000302361
CR09	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000428522
CR10	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	6.08E-05
CR11	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.4	0.6	0.000155207
CR02	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	3.66E-05
CR03	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	2.11E-05
CR04	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	4.78E-05
CR05	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	3.17E-05
CR06	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	0.000122244
CR07	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	0.000162021
CR08	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	0.00013289
CR09	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	0.000271826
CR10	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	2.27E-05
CR11	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.6	0.4	4.34E-05
CR02	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	1.46E-05
CR03	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	9.53E-06
CR04	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	2.11E-05
CR05	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	1.45E-05
CR06	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	0	0	0	0.2	0.8	4.67E-05
