Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
10 to 19 Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	1616	1.19E-05
2 Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	107	2169	1.60E-05
20 to 49 Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	997	7.36E-06
3 or 4 Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	127	2860	2.11E-05
5 to 9 Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	139	4394	3.25E-05
50 or more Unit	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	1051	7.76E-06
Mobile Home	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	468	10200	7.53E-05
Single-Family Attached	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	464	3.43E-06
Single-Family Detached	"AL, 00100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3337	65618	0.000484632
10 to 19 Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	1238	8.91E-06
2 Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	940	6.76E-06
20 to 49 Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	347	2.50E-06
3 or 4 Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	770	5.54E-06
5 to 9 Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1733	1.25E-05
50 or more Unit	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	16	336	2.42E-06
Mobile Home	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	284	8680	6.25E-05
Single-Family Attached	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	917	6.60E-06
Single-Family Detached	"AL, 00200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2394	62487	0.000449629
10 to 19 Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	129	5309	3.78E-05
2 Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	968	6.89E-06
20 to 49 Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	2206	1.57E-05
3 or 4 Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	2426	1.73E-05
5 to 9 Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	120	4636	3.30E-05
50 or more Unit	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	1826	1.30E-05
Mobile Home	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1029	7.33E-06
Single-Family Attached	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	1178	8.39E-06
Single-Family Detached	"AL, 00301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1690	38520	0.000274239
10 to 19 Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	2852	2.14E-05
2 Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	56	1574	1.18E-05
20 to 49 Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	60	1673	1.25E-05
3 or 4 Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	129	3198	2.40E-05
5 to 9 Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	161	4563	3.42E-05
50 or more Unit	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	107	2031	1.52E-05
